******************************************** REINFORCEMENT LEARNING AI LOGBOOK ********************************************
2021-02-19_11-00-31 || Version: 2


------------------------------------------- NOTES -------------------------------------------
Rewards for valid steps, only

------------------------------------------- GAME INFORMATION -------------------------------------------
Number of Fields: 36 || Number of Pieces Per Player: 6

        REWARDS for...
...Valid Steps: 1 || ...Milestones: 0 || ...Winning: 0 || ...Loosing: 0


------------------------------------------- SIMULATION INFORMATION -------------------------------------------
Action Space Size: 216 || State Space Size: 258048 || Q-Table Size: 55738368
Learning Rate: 0.1 || Discount Rate: 0.99
Number of Episodes: 3000000

        EXPLORATION...
...Starting Rate: 1 || ...Maximum Rate: 1 || ...Minimum Rate: 0.0000001 || ...Decay Rate: 0.0000065


------------------------------------------- STATISTICS PER 25000 EPISODES -------------------------------------------
Rewards: 10.94 || Valid Steps: 91.63 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1075000 to 1100000
Rewards: 10.95 || Valid Steps: 91.63 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1100000 to 1125000
Rewards: 10.96 || Valid Steps: 91.64 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1125000 to 1150000
Rewards: 10.96 || Valid Steps: 91.64 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1150000 to 1175000
Rewards: 10.97 || Valid Steps: 91.65 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1175000 to 1200000
Rewards: 10.97 || Valid Steps: 91.65 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1200000 to 1225000
Rewards: 10.98 || Valid Steps: 91.65 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1225000 to 1250000
Rewards: 10.98 || Valid Steps: 91.66 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1250000 to 1275000
Rewards: 10.99 || Valid Steps: 91.66 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1275000 to 1300000
Rewards: 10.99 || Valid Steps: 91.66 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1300000 to 1325000
Rewards: 10.99 || Valid Steps: 91.66 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1325000 to 1350000
Rewards: 10.99 || Valid Steps: 91.66 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1350000 to 1375000
Rewards: 10.99 || Valid Steps: 91.66 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1375000 to 1400000
Rewards: 10.99 || Valid Steps: 91.66 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1400000 to 1425000
Rewards: 10.99 || Valid Steps: 91.66 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1425000 to 1450000
Rewards: 10.99 || Valid Steps: 91.66 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1450000 to 1475000
Rewards: 11.00 || Valid Steps: 91.66 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1475000 to 1500000
Rewards: 11.00 || Valid Steps: 91.66 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1500000 to 1525000
Rewards: 11.00 || Valid Steps: 91.66 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1525000 to 1550000
Rewards: 11.00 || Valid Steps: 91.67 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1550000 to 1575000
