******************************************** REINFORCEMENT LEARNING AI LOGBOOK ********************************************
2021-02-20_17-08-12 || Version: 2 || Simulation Episode: 2


------------------------------------------- NOTES -------------------------------------------
Rewards for Valid Steps, only + more episodes and decreased exploration_decay_rate

------------------------------------------- GAME INFORMATION -------------------------------------------
Number of Fields: 36 || Number of Pieces Per Player: 6

        REWARDS for...
...Valid Steps: 1 || ...Milestones: 0 || ...Winning: 0 || ...Loosing: 0


------------------------------------------- SIMULATION INFORMATION -------------------------------------------
Action Space Size: 216 || State Space Size: 258048 || Q-Table Size: 55738368
Learning Rate: 0.1 || Discount Rate: 0.99
Number of Episodes: 4000000

        EXPLORATION...
...Starting Rate: 1 || ...Maximum Rate: 1 || ...Minimum Rate: 0.0000001 || ...Decay Rate: 0.0000045


------------------------------------------- STATISTICS PER 25000 EPISODES -------------------------------------------
Rewards: 11.29 || Valid Steps: 91.87 % || Milestones: 0.02 % || Wins: 0.00 % / 0 || Episodes: 1025000 to 1050000
Rewards: 11.37 || Valid Steps: 91.91 % || Milestones: 0.01 % || Wins: 0.00 % / 0 || Episodes: 1050000 to 1075000
Rewards: 11.44 || Valid Steps: 91.96 % || Milestones: 0.01 % || Wins: 0.00 % / 0 || Episodes: 1075000 to 1100000
Rewards: 11.52 || Valid Steps: 92.01 % || Milestones: 0.02 % || Wins: 0.00 % / 0 || Episodes: 1100000 to 1125000
Rewards: 11.55 || Valid Steps: 92.03 % || Milestones: 0.01 % || Wins: 0.00 % / 0 || Episodes: 1125000 to 1150000
Rewards: 11.59 || Valid Steps: 92.06 % || Milestones: 0.01 % || Wins: 0.00 % / 0 || Episodes: 1150000 to 1175000
Rewards: 11.63 || Valid Steps: 92.08 % || Milestones: 0.01 % || Wins: 0.00 % / 0 || Episodes: 1175000 to 1200000
Rewards: 11.69 || Valid Steps: 92.12 % || Milestones: 0.01 % || Wins: 0.00 % / 0 || Episodes: 1200000 to 1225000
Rewards: 11.70 || Valid Steps: 92.13 % || Milestones: 0.01 % || Wins: 0.00 % / 0 || Episodes: 1225000 to 1250000
Rewards: 11.74 || Valid Steps: 92.15 % || Milestones: 0.01 % || Wins: 0.00 % / 0 || Episodes: 1250000 to 1275000
Rewards: 11.77 || Valid Steps: 92.17 % || Milestones: 0.01 % || Wins: 0.00 % / 0 || Episodes: 1275000 to 1300000
Rewards: 11.80 || Valid Steps: 92.19 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1300000 to 1325000
Rewards: 11.83 || Valid Steps: 92.20 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1325000 to 1350000
Rewards: 11.83 || Valid Steps: 92.21 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1350000 to 1375000
Rewards: 11.84 || Valid Steps: 92.21 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1375000 to 1400000
Rewards: 11.87 || Valid Steps: 92.23 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1400000 to 1425000
Rewards: 11.87 || Valid Steps: 92.23 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1425000 to 1450000
Rewards: 11.88 || Valid Steps: 92.24 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1450000 to 1475000
Rewards: 11.90 || Valid Steps: 92.25 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1475000 to 1500000
Rewards: 11.90 || Valid Steps: 92.25 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1500000 to 1525000
Rewards: 11.93 || Valid Steps: 92.27 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1525000 to 1550000
Rewards: 11.94 || Valid Steps: 92.27 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1550000 to 1575000
Rewards: 11.94 || Valid Steps: 92.27 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1575000 to 1600000
Rewards: 11.94 || Valid Steps: 92.27 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1600000 to 1625000
Rewards: 11.95 || Valid Steps: 92.28 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1625000 to 1650000
Rewards: 11.97 || Valid Steps: 92.29 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1650000 to 1675000
Rewards: 11.96 || Valid Steps: 92.28 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1675000 to 1700000
Rewards: 11.97 || Valid Steps: 92.29 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1700000 to 1725000
Rewards: 11.96 || Valid Steps: 92.29 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1725000 to 1750000
Rewards: 11.97 || Valid Steps: 92.29 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1750000 to 1775000
Rewards: 11.97 || Valid Steps: 92.29 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1775000 to 1800000
Rewards: 11.98 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1800000 to 1825000
Rewards: 11.98 || Valid Steps: 92.29 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1825000 to 1850000
Rewards: 11.98 || Valid Steps: 92.29 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1850000 to 1875000
Rewards: 11.98 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1875000 to 1900000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1900000 to 1925000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1925000 to 1950000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1950000 to 1975000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1975000 to 2000000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2000000 to 2025000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2025000 to 2050000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2050000 to 2075000
Rewards: 12.00 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2075000 to 2100000
Rewards: 12.00 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2100000 to 2125000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2125000 to 2150000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2150000 to 2175000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2175000 to 2200000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2200000 to 2225000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2225000 to 2250000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2250000 to 2275000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2275000 to 2300000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2300000 to 2325000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2325000 to 2350000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2350000 to 2375000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2375000 to 2400000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2400000 to 2425000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2425000 to 2450000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2450000 to 2475000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2475000 to 2500000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2500000 to 2525000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2525000 to 2550000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2550000 to 2575000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2575000 to 2600000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2600000 to 2625000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2625000 to 2650000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2650000 to 2675000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2675000 to 2700000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2700000 to 2725000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2725000 to 2750000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2750000 to 2775000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2775000 to 2800000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2800000 to 2825000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2825000 to 2850000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 2850000 to 2875000
