******************************************** REINFORCEMENT LEARNING AI LOGBOOK ********************************************
2021-02-20_13-35-08 || Version: 2 || Simulation Episode: 1


------------------------------------------- NOTES -------------------------------------------
Rewards for Valid Steps, only

------------------------------------------- GAME INFORMATION -------------------------------------------
Number of Fields: 36 || Number of Pieces Per Player: 6

        REWARDS for...
...Valid Steps: 1 || ...Milestones: 0 || ...Winning: 0 || ...Loosing: 0


------------------------------------------- SIMULATION INFORMATION -------------------------------------------
Action Space Size: 216 || State Space Size: 258048 || Q-Table Size: 55738368
Learning Rate: 0.1 || Discount Rate: 0.99
Number of Episodes: 3000000

        EXPLORATION...
...Starting Rate: 1 || ...Maximum Rate: 1 || ...Minimum Rate: 0.0000001 || ...Decay Rate: 0.0000065


------------------------------------------- STATISTICS PER 25000 EPISODES -------------------------------------------
Rewards: 11.85 || Valid Steps: 92.22 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 950000 to 975000
Rewards: 11.87 || Valid Steps: 92.23 % || Milestones: 0.01 % || Wins: 0.00 % / 0 || Episodes: 975000 to 1000000
Rewards: 11.90 || Valid Steps: 92.25 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1000000 to 1025000
Rewards: 11.91 || Valid Steps: 92.25 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1025000 to 1050000
Rewards: 11.92 || Valid Steps: 92.26 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1050000 to 1075000
Rewards: 11.93 || Valid Steps: 92.27 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1075000 to 1100000
Rewards: 11.95 || Valid Steps: 92.28 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1100000 to 1125000
Rewards: 11.95 || Valid Steps: 92.28 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1125000 to 1150000
Rewards: 11.96 || Valid Steps: 92.28 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1150000 to 1175000
Rewards: 11.97 || Valid Steps: 92.29 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1175000 to 1200000
Rewards: 11.97 || Valid Steps: 92.29 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1200000 to 1225000
Rewards: 11.97 || Valid Steps: 92.29 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1225000 to 1250000
Rewards: 11.98 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1250000 to 1275000
Rewards: 11.98 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1275000 to 1300000
Rewards: 11.98 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1300000 to 1325000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1325000 to 1350000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1350000 to 1375000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1375000 to 1400000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1400000 to 1425000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1425000 to 1450000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1450000 to 1475000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1475000 to 1500000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1500000 to 1525000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1525000 to 1550000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1550000 to 1575000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1575000 to 1600000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1600000 to 1625000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1625000 to 1650000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1650000 to 1675000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1675000 to 1700000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1700000 to 1725000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1725000 to 1750000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1750000 to 1775000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1775000 to 1800000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1800000 to 1825000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1825000 to 1850000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1850000 to 1875000
