******************************************** REINFORCEMENT LEARNING AI LOGBOOK ********************************************
2021-02-20_15-44-41 || Version: 2 || Simulation Episode: 1


------------------------------------------- NOTES -------------------------------------------
Rewards for Valid Steps, only + more episodes and decreased exploration_decay_rate

------------------------------------------- GAME INFORMATION -------------------------------------------
Number of Fields: 36 || Number of Pieces Per Player: 6

        REWARDS for...
...Valid Steps: 1 || ...Milestones: 0 || ...Winning: 0 || ...Loosing: 0


------------------------------------------- SIMULATION INFORMATION -------------------------------------------
Action Space Size: 216 || State Space Size: 258048 || Q-Table Size: 55738368
Learning Rate: 0.1 || Discount Rate: 0.99
Number of Episodes: 4000000

        EXPLORATION...
...Starting Rate: 1 || ...Maximum Rate: 1 || ...Minimum Rate: 0.0000001 || ...Decay Rate: 0.0000045


------------------------------------------- STATISTICS PER 25000 EPISODES -------------------------------------------
Rewards: 0.08 || Valid Steps: 7.80 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 0 to 25000
Rewards: 0.22 || Valid Steps: 17.78 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 25000 to 50000
Rewards: 0.36 || Valid Steps: 26.46 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 50000 to 75000
Rewards: 0.51 || Valid Steps: 33.83 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 75000 to 100000
Rewards: 0.69 || Valid Steps: 40.78 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 100000 to 125000
Rewards: 0.89 || Valid Steps: 47.25 % || Milestones: 0.02 % || Wins: 0.00 % / 0 || Episodes: 125000 to 150000
Rewards: 1.12 || Valid Steps: 52.88 % || Milestones: 0.02 % || Wins: 0.00 % / 0 || Episodes: 150000 to 175000
Rewards: 1.38 || Valid Steps: 57.93 % || Milestones: 0.03 % || Wins: 0.00 % / 0 || Episodes: 175000 to 200000
Rewards: 1.66 || Valid Steps: 62.43 % || Milestones: 0.03 % || Wins: 0.00 % / 0 || Episodes: 200000 to 225000
Rewards: 1.95 || Valid Steps: 66.12 % || Milestones: 0.05 % || Wins: 0.00 % / 0 || Episodes: 225000 to 250000
Rewards: 2.26 || Valid Steps: 69.40 % || Milestones: 0.06 % || Wins: 0.00 % / 0 || Episodes: 250000 to 275000
Rewards: 2.66 || Valid Steps: 72.70 % || Milestones: 0.07 % || Wins: 0.00 % / 0 || Episodes: 275000 to 300000
Rewards: 3.01 || Valid Steps: 75.10 % || Milestones: 0.07 % || Wins: 0.00 % / 0 || Episodes: 300000 to 325000
Rewards: 3.42 || Valid Steps: 77.43 % || Milestones: 0.09 % || Wins: 0.00 % / 0 || Episodes: 325000 to 350000
Rewards: 3.88 || Valid Steps: 79.52 % || Milestones: 0.10 % || Wins: 0.00 % / 0 || Episodes: 350000 to 375000
Rewards: 4.33 || Valid Steps: 81.27 % || Milestones: 0.12 % || Wins: 0.00 % / 0 || Episodes: 375000 to 400000
Rewards: 4.74 || Valid Steps: 82.60 % || Milestones: 0.12 % || Wins: 0.00 % / 0 || Episodes: 400000 to 425000
Rewards: 5.21 || Valid Steps: 83.91 % || Milestones: 0.11 % || Wins: 0.00 % / 0 || Episodes: 425000 to 450000
Rewards: 5.70 || Valid Steps: 85.09 % || Milestones: 0.13 % || Wins: 0.00 % / 0 || Episodes: 450000 to 475000
Rewards: 6.05 || Valid Steps: 85.83 % || Milestones: 0.12 % || Wins: 0.00 % / 0 || Episodes: 475000 to 500000
Rewards: 6.53 || Valid Steps: 86.74 % || Milestones: 0.14 % || Wins: 0.00 % / 0 || Episodes: 500000 to 525000
Rewards: 6.92 || Valid Steps: 87.39 % || Milestones: 0.13 % || Wins: 0.00 % / 0 || Episodes: 525000 to 550000
Rewards: 7.35 || Valid Steps: 88.03 % || Milestones: 0.10 % || Wins: 0.00 % / 0 || Episodes: 550000 to 575000
Rewards: 7.72 || Valid Steps: 88.54 % || Milestones: 0.12 % || Wins: 0.00 % / 0 || Episodes: 575000 to 600000
Rewards: 8.01 || Valid Steps: 88.90 % || Milestones: 0.11 % || Wins: 0.00 % / 0 || Episodes: 600000 to 625000
Rewards: 8.37 || Valid Steps: 89.33 % || Milestones: 0.10 % || Wins: 0.00 % / 0 || Episodes: 625000 to 650000
Rewards: 8.75 || Valid Steps: 89.75 % || Milestones: 0.09 % || Wins: 0.00 % / 0 || Episodes: 650000 to 675000
Rewards: 9.05 || Valid Steps: 90.05 % || Milestones: 0.09 % || Wins: 0.00 % / 0 || Episodes: 675000 to 700000
Rewards: 9.33 || Valid Steps: 90.33 % || Milestones: 0.08 % || Wins: 0.00 % / 0 || Episodes: 700000 to 725000
Rewards: 9.55 || Valid Steps: 90.53 % || Milestones: 0.07 % || Wins: 0.00 % / 0 || Episodes: 725000 to 750000
Rewards: 9.79 || Valid Steps: 90.73 % || Milestones: 0.08 % || Wins: 0.00 % / 0 || Episodes: 750000 to 775000
Rewards: 10.00 || Valid Steps: 90.91 % || Milestones: 0.07 % || Wins: 0.00 % / 0 || Episodes: 775000 to 800000
Rewards: 10.66 || Valid Steps: 91.66 % || Milestones: 5.42 % || Wins: 0.00 % / 0 || Episodes: 800000 to 825000
Rewards: 11.73 || Valid Steps: 92.58 % || Milestones: 12.34 % || Wins: 0.00 % / 0 || Episodes: 825000 to 850000
Rewards: 11.99 || Valid Steps: 92.73 % || Milestones: 12.78 % || Wins: 0.00 % / 0 || Episodes: 850000 to 875000
Rewards: 12.16 || Valid Steps: 92.83 % || Milestones: 13.11 % || Wins: 0.00 % / 0 || Episodes: 875000 to 900000
Rewards: 12.36 || Valid Steps: 92.94 % || Milestones: 13.48 % || Wins: 0.00 % / 0 || Episodes: 900000 to 925000
Rewards: 12.61 || Valid Steps: 93.07 % || Milestones: 13.90 % || Wins: 0.00 % / 0 || Episodes: 925000 to 950000
Rewards: 12.68 || Valid Steps: 93.12 % || Milestones: 14.10 % || Wins: 0.00 % / 0 || Episodes: 950000 to 975000
Rewards: 12.78 || Valid Steps: 93.17 % || Milestones: 14.24 % || Wins: 0.00 % / 0 || Episodes: 975000 to 1000000
Rewards: 12.94 || Valid Steps: 93.25 % || Milestones: 14.60 % || Wins: 0.00 % / 0 || Episodes: 1000000 to 1025000
Rewards: 13.04 || Valid Steps: 93.30 % || Milestones: 14.80 % || Wins: 0.00 % / 0 || Episodes: 1025000 to 1050000
Rewards: 13.13 || Valid Steps: 93.34 % || Milestones: 14.96 % || Wins: 0.00 % / 0 || Episodes: 1050000 to 1075000
Rewards: 13.24 || Valid Steps: 93.40 % || Milestones: 15.15 % || Wins: 0.00 % / 0 || Episodes: 1075000 to 1100000
Rewards: 13.31 || Valid Steps: 93.43 % || Milestones: 15.30 % || Wins: 0.00 % / 0 || Episodes: 1100000 to 1125000
Rewards: 13.40 || Valid Steps: 93.48 % || Milestones: 15.46 % || Wins: 0.00 % / 0 || Episodes: 1125000 to 1150000
Rewards: 13.43 || Valid Steps: 93.49 % || Milestones: 15.54 % || Wins: 0.00 % / 0 || Episodes: 1150000 to 1175000
Rewards: 13.49 || Valid Steps: 93.52 % || Milestones: 15.67 % || Wins: 0.00 % / 0 || Episodes: 1175000 to 1200000
Rewards: 13.55 || Valid Steps: 93.55 % || Milestones: 15.77 % || Wins: 0.00 % / 0 || Episodes: 1200000 to 1225000
Rewards: 13.57 || Valid Steps: 93.56 % || Milestones: 15.82 % || Wins: 0.00 % / 0 || Episodes: 1225000 to 1250000
Rewards: 13.62 || Valid Steps: 93.58 % || Milestones: 15.90 % || Wins: 0.00 % / 0 || Episodes: 1250000 to 1275000
Rewards: 13.66 || Valid Steps: 93.60 % || Milestones: 16.02 % || Wins: 0.00 % / 0 || Episodes: 1275000 to 1300000
Rewards: 13.72 || Valid Steps: 93.63 % || Milestones: 16.12 % || Wins: 0.00 % / 0 || Episodes: 1300000 to 1325000
Rewards: 13.75 || Valid Steps: 93.64 % || Milestones: 16.15 % || Wins: 0.00 % / 0 || Episodes: 1325000 to 1350000
Rewards: 13.76 || Valid Steps: 93.65 % || Milestones: 16.19 % || Wins: 0.00 % / 0 || Episodes: 1350000 to 1375000
Rewards: 13.81 || Valid Steps: 93.66 % || Milestones: 16.27 % || Wins: 0.00 % / 0 || Episodes: 1375000 to 1400000
Rewards: 13.81 || Valid Steps: 93.67 % || Milestones: 16.30 % || Wins: 0.00 % / 0 || Episodes: 1400000 to 1425000
Rewards: 13.84 || Valid Steps: 93.68 % || Milestones: 16.35 % || Wins: 0.00 % / 0 || Episodes: 1425000 to 1450000
Rewards: 13.84 || Valid Steps: 93.68 % || Milestones: 16.36 % || Wins: 0.00 % / 0 || Episodes: 1450000 to 1475000
Rewards: 13.87 || Valid Steps: 93.69 % || Milestones: 16.42 % || Wins: 0.00 % / 0 || Episodes: 1475000 to 1500000
Rewards: 13.87 || Valid Steps: 93.69 % || Milestones: 16.41 % || Wins: 0.00 % / 0 || Episodes: 1500000 to 1525000
Rewards: 13.91 || Valid Steps: 93.71 % || Milestones: 16.47 % || Wins: 0.00 % / 0 || Episodes: 1525000 to 1550000
Rewards: 13.91 || Valid Steps: 93.71 % || Milestones: 16.49 % || Wins: 0.00 % / 0 || Episodes: 1550000 to 1575000
Rewards: 13.91 || Valid Steps: 93.71 % || Milestones: 16.49 % || Wins: 0.00 % / 0 || Episodes: 1575000 to 1600000
Rewards: 13.93 || Valid Steps: 93.72 % || Milestones: 16.52 % || Wins: 0.00 % / 0 || Episodes: 1600000 to 1625000
Rewards: 13.92 || Valid Steps: 93.72 % || Milestones: 16.51 % || Wins: 0.00 % / 0 || Episodes: 1625000 to 1650000
Rewards: 13.94 || Valid Steps: 93.72 % || Milestones: 16.55 % || Wins: 0.00 % / 0 || Episodes: 1650000 to 1675000
Rewards: 13.95 || Valid Steps: 93.73 % || Milestones: 16.57 % || Wins: 0.00 % / 0 || Episodes: 1675000 to 1700000
Rewards: 13.95 || Valid Steps: 93.73 % || Milestones: 16.58 % || Wins: 0.00 % / 0 || Episodes: 1700000 to 1725000
Rewards: 13.96 || Valid Steps: 93.73 % || Milestones: 16.58 % || Wins: 0.00 % / 0 || Episodes: 1725000 to 1750000
Rewards: 13.96 || Valid Steps: 93.73 % || Milestones: 16.59 % || Wins: 0.00 % / 0 || Episodes: 1750000 to 1775000
Rewards: 13.97 || Valid Steps: 93.74 % || Milestones: 16.61 % || Wins: 0.00 % / 0 || Episodes: 1775000 to 1800000
Rewards: 13.98 || Valid Steps: 93.74 % || Milestones: 16.62 % || Wins: 0.00 % / 0 || Episodes: 1800000 to 1825000
Rewards: 13.98 || Valid Steps: 93.74 % || Milestones: 16.62 % || Wins: 0.00 % / 0 || Episodes: 1825000 to 1850000
Rewards: 13.98 || Valid Steps: 93.74 % || Milestones: 16.61 % || Wins: 0.00 % / 0 || Episodes: 1850000 to 1875000
