******************************************** REINFORCEMENT LEARNING AI LOGBOOK ********************************************
2021-02-18_20-59-16 || Version: 2


------------------------------------------- NOTES -------------------------------------------
Rewards for valid steps, only

------------------------------------------- GAME INFORMATION -------------------------------------------
Number of Fields: 36 || Number of Pieces Per Player: 6

        REWARDS for...
...Valid Steps: 1 || ...Milestones: 0 || ...Winning: 0 || ...Loosing: 0


------------------------------------------- SIMULATION INFORMATION -------------------------------------------
Action Space Size: 216 || State Space Size: 258048 || Q-Table Size: 55738368
Learning Rate: 0.1 || Discount Rate: 0.99
Number of Episodes: 3000000

        EXPLORATION...
...Starting Rate: 1 || ...Maximum Rate: 1 || ...Minimum Rate: 0.0000001 || ...Decay Rate: 0.0000065


------------------------------------------- STATISTICS PER 25000 EPISODES -------------------------------------------
Rewards: 9.86 || Valid Steps: 90.79 % || Milestones: 0.05 % || Wins: 0.00 % / 0 || Episodes: 525000 to 550000
Rewards: 10.22 || Valid Steps: 91.09 % || Milestones: 0.06 % || Wins: 0.00 % / 0 || Episodes: 550000 to 575000
Rewards: 10.43 || Valid Steps: 91.26 % || Milestones: 0.05 % || Wins: 0.00 % / 0 || Episodes: 575000 to 600000
Rewards: 10.63 || Valid Steps: 91.40 % || Milestones: 0.04 % || Wins: 0.00 % / 0 || Episodes: 600000 to 625000
Rewards: 10.87 || Valid Steps: 91.58 % || Milestones: 0.03 % || Wins: 0.00 % / 0 || Episodes: 625000 to 650000
Rewards: 11.04 || Valid Steps: 91.69 % || Milestones: 0.03 % || Wins: 0.00 % / 0 || Episodes: 650000 to 675000
Rewards: 11.19 || Valid Steps: 91.80 % || Milestones: 0.03 % || Wins: 0.00 % / 0 || Episodes: 675000 to 700000
Rewards: 11.25 || Valid Steps: 91.84 % || Milestones: 0.02 % || Wins: 0.00 % / 0 || Episodes: 700000 to 725000
Rewards: 11.37 || Valid Steps: 91.92 % || Milestones: 0.02 % || Wins: 0.00 % / 0 || Episodes: 725000 to 750000
Rewards: 11.46 || Valid Steps: 91.98 % || Milestones: 0.02 % || Wins: 0.00 % / 0 || Episodes: 750000 to 775000
Rewards: 11.54 || Valid Steps: 92.02 % || Milestones: 0.01 % || Wins: 0.00 % / 0 || Episodes: 775000 to 800000
Rewards: 11.61 || Valid Steps: 92.07 % || Milestones: 0.01 % || Wins: 0.00 % / 0 || Episodes: 800000 to 825000
Rewards: 11.66 || Valid Steps: 92.10 % || Milestones: 0.01 % || Wins: 0.00 % / 0 || Episodes: 825000 to 850000
Rewards: 11.73 || Valid Steps: 92.15 % || Milestones: 0.01 % || Wins: 0.00 % / 0 || Episodes: 850000 to 875000
Rewards: 11.76 || Valid Steps: 92.17 % || Milestones: 0.01 % || Wins: 0.00 % / 0 || Episodes: 875000 to 900000
Rewards: 11.80 || Valid Steps: 92.19 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 900000 to 925000
Rewards: 11.83 || Valid Steps: 92.20 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 925000 to 950000
Rewards: 11.85 || Valid Steps: 92.22 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 950000 to 975000
Rewards: 11.88 || Valid Steps: 92.24 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 975000 to 1000000
Rewards: 11.90 || Valid Steps: 92.25 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1000000 to 1025000
Rewards: 11.91 || Valid Steps: 92.25 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1025000 to 1050000
Rewards: 11.93 || Valid Steps: 92.26 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1050000 to 1075000
Rewards: 11.93 || Valid Steps: 92.27 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1075000 to 1100000
Rewards: 11.95 || Valid Steps: 92.28 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1100000 to 1125000
Rewards: 11.95 || Valid Steps: 92.28 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1125000 to 1150000
Rewards: 11.96 || Valid Steps: 92.28 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1150000 to 1175000
Rewards: 11.97 || Valid Steps: 92.29 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1175000 to 1200000
Rewards: 11.97 || Valid Steps: 92.29 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1200000 to 1225000
Rewards: 11.98 || Valid Steps: 92.29 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1225000 to 1250000
Rewards: 11.98 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1250000 to 1275000
Rewards: 11.98 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1275000 to 1300000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1300000 to 1325000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1325000 to 1350000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1350000 to 1375000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1375000 to 1400000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1400000 to 1425000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1425000 to 1450000
Rewards: 11.99 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1450000 to 1475000
Rewards: 12.00 || Valid Steps: 92.30 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1475000 to 1500000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1500000 to 1525000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1525000 to 1550000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1550000 to 1575000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1575000 to 1600000
Rewards: 12.00 || Valid Steps: 92.31 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 1600000 to 1625000
