******************************************** REINFORCEMENT LEARNING AI LOGBOOK ********************************************
2021-02-08_21-23-22 || Version: 2


------------------------------------------- NOTES -------------------------------------------
More episodes

------------------------------------------- GAME INFORMATION -------------------------------------------
Number of Fields: 36 || Number of Pieces Per Player: 6

        REWARDS for...
...Valid Steps: 0.2 || ...Milestones: 1 || ...Winning: 1 || ...Loosing: -1


------------------------------------------- SIMULATION INFORMATION -------------------------------------------
Action Space Size: 216 || State Space Size: 258048 || Q-Table Size: 55738368
Learning Rate: 0.1 || Discount Rate: 0.99
Number of Episodes: 1000000

        EXPLORATION...
...Starting Rate: 1 || ...Maximum Rate: 1 || ...Minimum Rate: 0.0000001 || ...Decay Rate: 0.000001


------------------------------------------- STATISTICS PER 5000 EPISODES -------------------------------------------
Rewards: -0.95 || Valid Steps: 20.92 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 210000 to 215000
Rewards: -0.94 || Valid Steps: 21.86 % || Milestones: 0.01 % || Wins: 0.00 % / 0 || Episodes: 215000 to 220000
Rewards: -0.95 || Valid Steps: 21.26 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 220000 to 225000
Rewards: -0.95 || Valid Steps: 21.42 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 225000 to 230000
Rewards: -0.94 || Valid Steps: 21.65 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 230000 to 235000
Rewards: -0.94 || Valid Steps: 23.28 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 235000 to 240000
Rewards: -0.94 || Valid Steps: 23.45 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 240000 to 245000
Rewards: -0.94 || Valid Steps: 23.82 % || Milestones: 0.01 % || Wins: 0.00 % / 0 || Episodes: 245000 to 250000
Rewards: -0.94 || Valid Steps: 24.21 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 250000 to 255000
Rewards: -0.93 || Valid Steps: 24.78 % || Milestones: 0.01 % || Wins: 0.00 % / 0 || Episodes: 255000 to 260000
Rewards: -0.93 || Valid Steps: 25.19 % || Milestones: 0.00 % || Wins: 0.00 % / 0 || Episodes: 260000 to 265000
Rewards: -0.93 || Valid Steps: 24.82 % || Milestones: 0.16 % || Wins: 0.00 % / 0 || Episodes: 265000 to 270000
Rewards: -0.92 || Valid Steps: 26.63 % || Milestones: 0.25 % || Wins: 0.00 % / 0 || Episodes: 270000 to 275000
Rewards: -0.92 || Valid Steps: 25.18 % || Milestones: 0.22 % || Wins: 0.00 % / 0 || Episodes: 275000 to 280000
Rewards: -0.92 || Valid Steps: 26.22 % || Milestones: 0.27 % || Wins: 0.00 % / 0 || Episodes: 280000 to 285000
Rewards: -0.91 || Valid Steps: 26.83 % || Milestones: 0.30 % || Wins: 0.00 % / 0 || Episodes: 285000 to 290000
Rewards: -0.92 || Valid Steps: 25.86 % || Milestones: 0.25 % || Wins: 0.00 % / 0 || Episodes: 290000 to 295000
Rewards: -0.91 || Valid Steps: 27.65 % || Milestones: 0.29 % || Wins: 0.00 % / 0 || Episodes: 295000 to 300000
Rewards: -0.91 || Valid Steps: 27.75 % || Milestones: 0.30 % || Wins: 0.00 % / 0 || Episodes: 300000 to 305000
Rewards: -0.90 || Valid Steps: 29.24 % || Milestones: 0.30 % || Wins: 0.00 % / 0 || Episodes: 305000 to 310000
Rewards: -0.90 || Valid Steps: 28.52 % || Milestones: 0.35 % || Wins: 0.00 % / 0 || Episodes: 310000 to 315000
Rewards: -0.91 || Valid Steps: 27.89 % || Milestones: 0.32 % || Wins: 0.00 % / 0 || Episodes: 315000 to 320000
Rewards: -0.89 || Valid Steps: 30.25 % || Milestones: 0.41 % || Wins: 0.00 % / 0 || Episodes: 320000 to 325000
Rewards: -0.89 || Valid Steps: 30.76 % || Milestones: 0.43 % || Wins: 0.00 % / 0 || Episodes: 325000 to 330000
Rewards: -0.90 || Valid Steps: 29.45 % || Milestones: 0.39 % || Wins: 0.00 % / 0 || Episodes: 330000 to 335000
Rewards: -0.89 || Valid Steps: 31.47 % || Milestones: 0.44 % || Wins: 0.00 % / 0 || Episodes: 335000 to 340000
Rewards: -0.88 || Valid Steps: 31.95 % || Milestones: 0.45 % || Wins: 0.00 % / 0 || Episodes: 340000 to 345000
Rewards: -0.88 || Valid Steps: 31.49 % || Milestones: 0.49 % || Wins: 0.00 % / 0 || Episodes: 345000 to 350000
Rewards: -0.89 || Valid Steps: 31.55 % || Milestones: 0.44 % || Wins: 0.00 % / 0 || Episodes: 350000 to 355000
Rewards: -0.88 || Valid Steps: 31.93 % || Milestones: 0.47 % || Wins: 0.00 % / 0 || Episodes: 355000 to 360000
Rewards: -0.88 || Valid Steps: 31.75 % || Milestones: 0.47 % || Wins: 0.00 % / 0 || Episodes: 360000 to 365000
Rewards: -0.88 || Valid Steps: 32.37 % || Milestones: 0.51 % || Wins: 0.00 % / 0 || Episodes: 365000 to 370000
Rewards: -0.87 || Valid Steps: 33.29 % || Milestones: 0.57 % || Wins: 0.00 % / 0 || Episodes: 370000 to 375000
Rewards: -0.89 || Valid Steps: 32.00 % || Milestones: 0.43 % || Wins: 0.00 % / 0 || Episodes: 375000 to 380000
Rewards: -0.88 || Valid Steps: 32.95 % || Milestones: 0.54 % || Wins: 0.00 % / 0 || Episodes: 380000 to 385000
Rewards: -0.87 || Valid Steps: 33.64 % || Milestones: 0.56 % || Wins: 0.00 % / 0 || Episodes: 385000 to 390000
Rewards: -0.88 || Valid Steps: 33.48 % || Milestones: 0.51 % || Wins: 0.00 % / 0 || Episodes: 390000 to 395000
Rewards: -0.87 || Valid Steps: 34.06 % || Milestones: 0.62 % || Wins: 0.00 % / 0 || Episodes: 395000 to 400000
Rewards: -0.87 || Valid Steps: 34.21 % || Milestones: 0.64 % || Wins: 0.00 % / 0 || Episodes: 400000 to 405000
Rewards: -0.86 || Valid Steps: 35.17 % || Milestones: 0.63 % || Wins: 0.00 % / 0 || Episodes: 405000 to 410000
Rewards: -0.86 || Valid Steps: 35.58 % || Milestones: 0.62 % || Wins: 0.00 % / 0 || Episodes: 410000 to 415000
Rewards: -0.85 || Valid Steps: 36.88 % || Milestones: 0.75 % || Wins: 0.00 % / 0 || Episodes: 415000 to 420000
Rewards: -0.86 || Valid Steps: 35.41 % || Milestones: 0.62 % || Wins: 0.00 % / 0 || Episodes: 420000 to 425000
Rewards: -0.85 || Valid Steps: 36.33 % || Milestones: 0.76 % || Wins: 0.00 % / 0 || Episodes: 425000 to 430000
Rewards: -0.85 || Valid Steps: 36.80 % || Milestones: 0.74 % || Wins: 0.00 % / 0 || Episodes: 430000 to 435000
Rewards: -0.85 || Valid Steps: 36.39 % || Milestones: 0.72 % || Wins: 0.00 % / 0 || Episodes: 435000 to 440000
Rewards: -0.84 || Valid Steps: 37.26 % || Milestones: 0.81 % || Wins: 0.00 % / 0 || Episodes: 440000 to 445000
Rewards: -0.84 || Valid Steps: 37.41 % || Milestones: 0.78 % || Wins: 0.00 % / 0 || Episodes: 445000 to 450000
Rewards: -0.83 || Valid Steps: 38.48 % || Milestones: 0.88 % || Wins: 0.00 % / 0 || Episodes: 450000 to 455000
Rewards: -0.84 || Valid Steps: 37.35 % || Milestones: 0.77 % || Wins: 0.00 % / 0 || Episodes: 455000 to 460000
Rewards: -0.84 || Valid Steps: 37.62 % || Milestones: 0.85 % || Wins: 0.00 % / 0 || Episodes: 460000 to 465000
Rewards: -0.84 || Valid Steps: 37.92 % || Milestones: 0.83 % || Wins: 0.00 % / 0 || Episodes: 465000 to 470000
Rewards: -0.83 || Valid Steps: 38.92 % || Milestones: 0.94 % || Wins: 0.00 % / 0 || Episodes: 470000 to 475000
